timestamp,model,prompt,brand,mentioned,position,rank,sentiment,reason,sources
2026-03-23 15:53:28,gemini-2.5-flash,ซื้อเครื่องสำอางออนไลน์จากเว็บไหนดี?,EVEANDBOY,1,1267.0,4.0,,,"konvy.com, ladymonsters.in.th, zipeventapp.com, beauticool.com, wongnai.com, sephora.co.th, tops.co.th, you.co, jeban.com, caretobeauty.com, pantip.com"
2026-03-23 15:53:28,gemini-2.5-flash,ซื้อเครื่องสำอางออนไลน์จากเว็บไหนดี?,Beautrium,1,1716.0,6.0,positive,มีเครื่องสำอางหลากหลายแบรนด์ จัดโปรโมชั่นบ่อยครั้ง,"konvy.com, ladymonsters.in.th, zipeventapp.com, beauticool.com, wongnai.com, sephora.co.th, tops.co.th, you.co, jeban.com, caretobeauty.com, pantip.com"
2026-03-23 15:53:28,gemini-2.5-flash,ซื้อเครื่องสำอางออนไลน์จากเว็บไหนดี?,Sephora,1,721.0,2.0,positive,รวมแบรนด์ดังระดับโลก มีบริการส่งฟรีและสินค้าทดลองฟรี,"konvy.com, ladymonsters.in.th, zipeventapp.com, beauticool.com, wongnai.com, sephora.co.th, tops.co.th, you.co, jeban.com, caretobeauty.com, pantip.com"
2026-03-23 15:53:28,gemini-2.5-flash,ซื้อเครื่องสำอางออนไลน์จากเว็บไหนดี?,Watsons,1,1561.0,5.0,positive,แบรนด์ดรักสโตร์ราคาไม่แพง มีโปรโมชั่นบ่อยครั้ง,"konvy.com, ladymonsters.in.th, zipeventapp.com, beauticool.com, wongnai.com, sephora.co.th, tops.co.th, you.co, jeban.com, caretobeauty.com, pantip.com"
2026-03-23 15:53:28,gemini-2.5-flash,ซื้อเครื่องสำอางออนไลน์จากเว็บไหนดี?,Boots,0,,,,,"konvy.com, ladymonsters.in.th, zipeventapp.com, beauticool.com, wongnai.com, sephora.co.th, tops.co.th, you.co, jeban.com, caretobeauty.com, pantip.com"
2026-03-23 15:53:28,gemini-2.5-flash,ซื้อเครื่องสำอางออนไลน์จากเว็บไหนดี?,Lazada,0,,,,,"konvy.com, ladymonsters.in.th, zipeventapp.com, beauticool.com, wongnai.com, sephora.co.th, tops.co.th, you.co, jeban.com, caretobeauty.com, pantip.com"
2026-03-23 15:53:28,gemini-2.5-flash,ซื้อเครื่องสำอางออนไลน์จากเว็บไหนดี?,Shopee,1,960.0,3.0,positive,แพลตฟอร์มใหญ่ สินค้าหลากหลาย มีโค้ดส่วนลดและโปรโมชั่นส่งฟรี,"konvy.com, ladymonsters.in.th, zipeventapp.com, beauticool.com, wongnai.com, sephora.co.th, tops.co.th, you.co, jeban.com, caretobeauty.com, pantip.com"
2026-03-23 15:53:15,gemini-2.5-flash,อาหารเสริมราคาคุ้มค่า สั่งออนไลน์จากที่ไหนดี?,Allnii,0,,,,,"lazada.co.th, shopee.co.th, bigc.co.th, tops.co.th, topsvita.com, watsons.co.th, punsuk.com, giffmart.com, novaonlinecenter.com"
2026-03-23 15:53:15,gemini-2.5-flash,อาหารเสริมราคาคุ้มค่า สั่งออนไลน์จากที่ไหนดี?,Konvy,0,,,,,"lazada.co.th, shopee.co.th, bigc.co.th, tops.co.th, topsvita.com, watsons.co.th, punsuk.com, giffmart.com, novaonlinecenter.com"
2026-03-23 15:53:15,gemini-2.5-flash,อาหารเสริมราคาคุ้มค่า สั่งออนไลน์จากที่ไหนดี?,EVEANDBOY,0,,,,,"lazada.co.th, shopee.co.th, bigc.co.th, tops.co.th, topsvita.com, watsons.co.th, punsuk.com, giffmart.com, novaonlinecenter.com"
2026-03-23 15:53:15,gemini-2.5-flash,อาหารเสริมราคาคุ้มค่า สั่งออนไลน์จากที่ไหนดี?,Beautrium,0,,,,,"lazada.co.th, shopee.co.th, bigc.co.th, tops.co.th, topsvita.com, watsons.co.th, punsuk.com, giffmart.com, novaonlinecenter.com"
2026-03-23 15:53:15,gemini-2.5-flash,อาหารเสริมราคาคุ้มค่า สั่งออนไลน์จากที่ไหนดี?,Sephora,0,,,,,"lazada.co.th, shopee.co.th, bigc.co.th, tops.co.th, topsvita.com, watsons.co.th, punsuk.com, giffmart.com, novaonlinecenter.com"
2026-03-23 15:53:15,gemini-2.5-flash,อาหารเสริมราคาคุ้มค่า สั่งออนไลน์จากที่ไหนดี?,Watsons,1,1108.0,3.0,positive,สินค้าของแท้ โปรโมชั่น ส่งฟรี เก็บเงินปลายทาง,"lazada.co.th, shopee.co.th, bigc.co.th, tops.co.th, topsvita.com, watsons.co.th, punsuk.com, giffmart.com, novaonlinecenter.com"
2026-03-23 15:53:15,gemini-2.5-flash,อาหารเสริมราคาคุ้มค่า สั่งออนไลน์จากที่ไหนดี?,Boots,0,,,,,"lazada.co.th, shopee.co.th, bigc.co.th, tops.co.th, topsvita.com, watsons.co.th, punsuk.com, giffmart.com, novaonlinecenter.com"
2026-03-23 15:53:15,gemini-2.5-flash,อาหารเสริมราคาคุ้มค่า สั่งออนไลน์จากที่ไหนดี?,Lazada,1,137.0,1.0,positive,ราคาคุ้มค่า โปรโมชั่นบ่อย ส่งฟรี เก็บเงินปลายทาง คืนสินค้าฟรี,"lazada.co.th, shopee.co.th, bigc.co.th, tops.co.th, topsvita.com, watsons.co.th, punsuk.com, giffmart.com, novaonlinecenter.com"
2026-03-23 15:53:15,gemini-2.5-flash,อาหารเสริมราคาคุ้มค่า สั่งออนไลน์จากที่ไหนดี?,Shopee,1,373.0,2.0,positive,ยอดนิยม ข้อเสนอและดีลพิเศษ,"lazada.co.th, shopee.co.th, bigc.co.th, tops.co.th, topsvita.com, watsons.co.th, punsuk.com, giffmart.com, novaonlinecenter.com"
